SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1969270N13139,60,0
1969271N23163,95,0
1969279N11158,105,0
1969287N11150,115,0
1969299N10142,105,0
1969306N08156,110,0
1969328N09138,50,0
1969352N10146,50,0
1970050N07151,120,0
1970177N07142,50,0
1970178N07153,140,0
1970190N12140,55,0
1970200N24161,40,0
1970211N27183,40,0
1970215N21137,40,0
1970219N18140,105,0
1970225N12149,135,0
1970233N15138,110,0
1970237N28154,85,0
1970245N19131,55,0
1970246N14142,45,0
1970250N15140,140,0
1970262N13175,150,0
1970275N11112,100,0
1970282N08147,150,0
1970286N06143,130,0
1970296N07134,60,0
1970299N10157,55,0
1970305N10111,50,0
1970315N08128,50,0
1970318N13157,135,0
1970324N05143,40,0
1971008N08143,50,0
1971074N06134,45,0
1971098N08142,90,0
1971112N11132,75,0
1971118N05155,150,0
1971122N14120,55,0
1971137N10129,50,0
1971141N07156,90,0
1971147N09139,35,0
1971160N10135,75,0
1971173N09136,90,0
1971181N09138,125,0
1971185N23137,60,0
1971189N12130,50,0
1971190N09141,85,0
1971192N07153,130,0
1971195N24183,80,0
1971200N11144,150,0
1971205N10153,85,0
1971216N11143,40,0
1971218N08161,120,0
1971222N23155,90,0
1971231N24151,100,0
1971235N23166,30,0
1971242N09135,100,0
1971246N22172,140,0
1971251N18127,75,0
1971256N25162,25,0
1971258N20158,140,0
1971266N16145,50,0
1971267N12130,70,0
1971274N06134,100,0
1971275N10176,65,0
1971281N16134,65,0
1971291N11134,90,0
1971311N06141,155,0
1971319N06108,45,0
1972004N10142,120,0
1972090N05154,30,0
1972148N07168,105,0
1972152N09146,45,0
1972153N14117,50,0
1972174N11137,80,0
1972187N08161,120,0
1972187N09150,145,0
1972187N11126,65,0
1972189N11171,125,0
1972202N11165,60,0
1972210N07162,90,0
1972210N21132,60,0
1972221N11151,135,0
1972234N17128,65,0
1972238N24165,55,0
1972244N12123,75,0
1972251N12137,75,0
1972254N14145,100,0
1972255N15130,50,0
1972256N10162,30,0
1972260N16152,110,0
1972271N15125,75,0
1972272N12167,60,0
1972278N14171,115,0
1972289N14173,105,0
1972295N07178,105,0
1972307N18144,110,0
1972316N05185,110,0
1972335N06142,105,0
1972335N08116,80,0
1972347N06171,55,0
1973179N11128,60,0
1973184N11110,70,0
1973192N10129,130,0
1973193N13111,85,0
1973193N26164,55,0
1973197N20136,105,0
1973204N10141,40,0
1973217N19123,70,0
1973219N17142,85,0
1973220N23159,45,0
1973222N25168,30,0
1973229N20134,45,0
1973232N17124,60,0
1973240N18112,30,0
1973242N12136,75,0
1973253N14129,80,0
1973274N10136,160,0
1973277N11114,75,0
1973278N13144,140,0
1973284N12144,90,0
1973313N12116,55,0
1973317N08122,55,0
1973320N05142,50,0
1974008N07132,55,0
1974072N08147,55,0
1974115N07150,60,0
1974121N09154,80,0
1974156N06144,70,0
1974157N18112,30,0
1974163N08141,60,0
1974168N17147,45,0
1974177N17153,90,0
1974194N10151,45,0
1974196N16133,45,0
1974197N11147,95,0
1974203N21165,65,0
1974219N16117,35,0
1974222N15149,70,0
1974224N21111,30,0
1974227N17126,50,0
1974236N18154,95,0
1974237N21117,50,0
1974238N23125,30,0
1974245N24123,75,0
1974246N22117,40,0
1974254N23153,75,0
1974262N16146,60,0
1974264N18162,105,0
1974280N11143,65,0
1974286N11138,75,0
1974291N10150,90,0
1974296N14148,95,0
1974303N13130,55,0
1974306N07142,120,0
1974315N09135,35,0
1974324N08146,115,0
1974349N11126,40,0
1974352N09140,40,0
1975019N09140,70,0
1975111N05132,25,0
1975205N18143,40,0
1975211N20137,135,0
1975217N20126,30,0
1975221N18116,80,0
1975221N18127,65,0
1975223N14138,120,0
1975237N23154,50,0
1975244N17153,95,0
1975247N14131,45,0
1975251N23162,65,0
1975258N12132,75,0
1975259N10141,95,0
1975273N09138,105,0
1975274N10116,55,0
1975281N10142,135,0
1975288N13138,70,0
1975296N24129,60,0
1975305N14125,45,0
1975309N11154,85,0
1975319N08146,160,0
1975357N07116,30,0
1975360N10127,30,0
1976026N02151,80,0
1976056N04163,35,0
1976092N11140,115,0
1976115N07163,55,0
1976131N12142,100,0
1976135N09153,130,0
1976172N11141,120,0
1976176N09148,115,0
1976190N09163,135,0
1976199N08149,45,0
1976202N15127,65,0
1976202N16118,55,0
1976213N08160,125,0
1976215N15118,40,0
1976230N18143,50,0
1976233N13136,45,0
1976246N09157,130,0
1976252N07159,40,0
1976257N15113,75,0
1976257N17156,70,0
1976262N14152,70,0
1976301N07153,140,0
1976309N05160,60,0
1976336N08133,45,0
1976343N15132,35,0
1977082N03165,50,0
1977144N18125,30,0
1977161N06134,60,0
1977184N13117,30,0
1977194N06142,75,0
1977200N10138,85,0
1977206N24137,110,0
1977211N20138,45,0
1977228N19133,40,0
1977243N05156,130,0
1977243N14129,35,0
1977254N19147,75,0
1977255N15145,60,0
1977264N14133,55,0
1977276N16155,70,0
1977287N10145,55,0
1977291N07148,90,0
1977300N15162,65,0
1977308N07156,125,0
1977330N07169,115,0
1977352N05171,95,0
1978006N06169,60,0
1978105N04149,85,0
1978165N20138,50,0
1978172N17130,40,0
1978177N11130,35,0
1978192N19154,70,0
1978203N14152,70,0
1978203N18114,50,0
1978203N18139,80,0
1978217N16129,40,0
1978221N16143,80,0
1978222N11131,45,0
1978226N09162,30,0
1978230N09136,65,0
1978237N06160,105,0
1978240N20130,40,0
1978240N27151,50,0
1978252N18166,90,0
1978253N21124,65,0
1978262N14135,50,0
1978264N08147,75,0
1978272N19154,70,0
1978279N14142,60,0
1978281N11138,85,0
1978282N19164,30,0
1978283N06153,20,0
1978287N08166,95,0
1978288N10185,150,0
1978304N14148,60,0
1978320N04155,125,0
1978320N15130,25,0
1978330N09148,55,0
1978361N02180,110,0
1979077N07150,90,0
1979098N02144,80,0
1979126N04148,40,0
1979137N19116,30,0
1979174N07143,85,0
1979180N03155,40,0
1979204N19143,20,0
1979205N10148,130,0
1979206N19132,60,0
1979214N12136,25,0
1979219N15138,90,0
1979228N11151,135,0
1979228N12169,20,0
1979242N22143,60,0
1979243N19154,90,0
1979254N10140,70,0
1979258N10120,45,0
1979262N15149,110,0
1979266N18150,45,0
1979271N13113,110,0
1979273N11145,45,0
1979275N06159,165,0
1979300N04166,140,0
1979311N10142,50,0
1979333N07169,110,0
1979333N12153,30,0
1979350N07153,60,0
1980076N06148,30,0
1980094N02179,60,0
1980126N08150,90,0
1980133N07149,110,0
1980137N04158,55,0
1980140N16116,55,0
1980171N06142,50,0
1980187N09146,60,0
1980197N07154,105,0
1980197N15133,30,0
1980201N08155,130,0
1980208N23153,80,0
1980219N15165,110,0
1980225N11145,20,0
1980236N15144,90,0
1980246N05151,85,0
1980254N14112,65,0
1980256N10154,65,0
1980257N17133,125,0
1980269N15147,55,0
1980270N13165,105,0
1980277N09157,150,0
1980282N19162,35,0
1980296N05165,125,0
1980300N08137,35,0
1980323N04180,100,0
1980349N10138,50,0
1981070N03173,100,0
1981102N04162,60,0
1981118N04164,45,0
1981158N17119,65,0
1981166N11135,75,0
1981176N08150,75,0
1981178N05160,55,0
1981195N11138,55,0
1981202N24123,35,0
1981207N22150,65,0
1981212N17142,45,0
1981214N13113,50,0
1981218N20168,60,0
1981226N16119,45,0
1981226N17142,55,0
1981227N18129,85,0
1981237N16148,95,0
1981245N23161,85,0
1981256N10150,120,0
1981261N25174,80,0
1981266N09151,150,0
1981283N07132,45,0
1981286N10150,95,0
1981317N14153,100,0
1981319N07163,135,0
1981324N08158,35,0
1981343N05150,115,0
1981355N07149,95,0
1982073N07153,60,0
1982077N04161,105,0
1982087N04157,75,0
1982136N08140,105,0
1982169N09149,75,0
1982176N18114,55,0
1982179N19128,50,0
1982190N09148,55,0
1982202N11165,140,0
1982202N12148,120,0
1982213N13145,125,0
1982220N08154,80,0
1982227N09140,90,0
1982229N09154,125,0
1982238N10161,100,0
1982246N16119,60,0
1982247N11147,90,0
1982248N14133,90,0
1982257N17140,110,0
1982257N20172,50,0
1982261N20150,30,0
1982272N11156,140,0
1982283N17148,115,0
1982286N09170,105,0
1982286N17145,20,0
1982325N08176,100,0
1982339N07139,65,0
1983167N05145,35,0
