SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1979258N10120,45,994
1997311N10151,45,1000
1982286N09170,90,996
1990309N08167,105,998
2007274N28173,40,1000
2000240N22115,40,996
2022285N17140,75,1004
1992188N07156,70,996
2012359N08134,40,1002
1994128N04155,70,998
1993298N11154,80,1000
1977200N10138,70,992
1991062N04156,50,998
1990235N10152,75,996
1985212N22148,75,998
1984180N16130,80,996
2000332N08133,40,996
1988356N05142,45,996
1997196N08142,100,996
1998253N17150,60,994
1990261N12141,80,1000
2000295N20146,70,1000
1981256N10150,100,998
1979206N19132,55,994
2018179N19134,65,998
2024233N15148,95,1002
1985286N05162,50,1002
1986240N24160,35,992
2007219N15130,35,994
2012086N10116,40,1004
2009164N10131,60,1000
1996261N08184,90,996
2014164N19116,40,998
1990202N13130,55,996
1999275N16135,80,998
2016228N22117,40,985
2018153N12113,40,1000
1985347N09114,50,1000
1989134N07138,65,1000
1988282N15118,45,998
1999230N12129,55,998
2008223N27151,50,1000
2017347N11131,40,1000
1980277N09157,120,1000
1997232N17115,55,992
2003240N14230,90,1010
1998188N18117,35,1000
1977254N19147,70,990
1987245N15133,80,996
2017253N14130,80,998
1978288N10185,120,1000
2004319N10134,80,1000
2009246N18130,50,992
1984284N11116,40,998
2002178N10139,85,998
1999235N27140,50,1002
2014029N10143,35,1002
1981226N17142,50,992
2011126N11129,40,996
2009123N10111,65,1000
1991163N11128,80,998
1984283N09139,40,1000
2017239N18147,80,994
2011192N18158,95,1000
2011140N08142,105,1000
2017206N13129,80,1000
2010218N20127,50,996
2016328N09130,50,1000
2016256N12146,95,1000
1992318N11160,90,998
2010285N13145,125,1002
1982238N10161,90,998
1981158N17119,60,1000
2001246N19156,85,996
1989324N17174,95,998
2019205N23137,35,1002
1990347N05173,100,998
2023207N09141,95,1000
2007298N18136,55,994
2002187N11160,85,1000
2003295N09101,30,1006
1998258N19126,75,994
2022180N15117,70,994
1996090N04150,35,1000
1981283N07132,45,996
1983325N08148,50,1004
1979205N10148,110,994
1990180N09159,45,996
2012263N15141,110,1002
1981070N03173,90,998
2016216N17149,60,998
1989169N16142,50,996
2017284N15134,75,996
1985162N05154,80,990
1990163N08133,55,996
2020160N10133,40,998
2006259N19155,105,1002
2021215N24124,50,992
1995357N07139,55,1000
2002198N09182,35,1002
1982136N08140,90,998
2021204N21146,40,998
2022299N11134,60,1000
2018221N17112,45,992
1980208N23153,75,996
2017292N13151,60,1000
2000364N07130,80,994
2005248N08142,85,1002
